#	timestep	msd
349	10.38813742
350	10.41888541
351	10.44966069
352	10.48045841
353	10.51127092
354	10.54208698
355	10.57289332
356	10.60367486
357	10.63441668
358	10.66510629
359	10.69573456
360	10.72629747
361	10.75679569
362	10.78723172
363	10.81760887
364	10.84793105
365	10.87820420
366	10.90843779
367	10.93864539
368	10.96884369
369	10.99905067
370	11.02928116
371	11.05954401
372	11.08984200
373	11.12017281
374	11.15052985
375	11.18090467
376	11.21128762
377	11.24166840
378	11.27203516
379	11.30237401
380	11.33266880
381	11.36290174
382	11.39305464
383	11.42311199
384	11.45306291
385	11.48290275
386	11.51263370
387	11.54226422
388	11.57180742
389	11.60127885
390	11.63069340
391	11.66006427
392	11.68940205
393	11.71871433
394	11.74800557
395	11.77727693
396	11.80652508
397	11.83574328
398	11.86492063
399	11.89404346
400	11.92309550
401	11.95205873
402	11.98091507
403	12.00964923
404	12.03825114
405	12.06671644
406	12.09504780
407	12.12325452
408	12.15135055
409	12.17935073
410	12.20726539
411	12.23509784
412	12.26284380
413	12.29049636
414	12.31805071
415	12.34550889
416	12.37288449
417	12.40019871
418	12.42747339
419	12.45472758
420	12.48197844
421	12.50924047
422	12.53652306
423	12.56382879
424	12.59115531
425	12.61849392
426	12.64583052
427	12.67314736
428	12.70042656
429	12.72765065
430	12.75480499
431	12.78187749
432	12.80885897
433	12.83574169
434	12.86251741
435	12.88917899
436	12.91572021
437	12.94213658
438	12.96842737
439	12.99459524
440	13.02064515
441	13.04658294
442	13.07241686
443	13.09815567
444	13.12380886
445	13.14938505
446	13.17488986
447	13.20032677
448	13.22569871
449	13.25100935
450	13.27626408
451	13.30147057
452	13.32663860
453	13.35177916
454	13.37690194
455	13.40201439
456	13.42712259
457	13.45223110
458	13.47734250
459	13.50245554
460	13.52756219
461	13.55264734
462	13.57769042
463	13.60267003
464	13.62756911
465	13.65237797
466	13.67709576
467	13.70173105
468	13.72629869
469	13.75081385
470	13.77528823
471	13.79972787
472	13.82413380
473	13.84850347
474	13.87283208
475	13.89711672
476	13.92135617
477	13.94555016
478	13.96969923
479	13.99380564
480	14.01787321
481	14.04190798
482	14.06591696
483	14.08990758
484	14.11389081
485	14.13788347
486	14.16190969
487	14.18600013
488	14.21018905
489	14.23451076
490	14.25899643
491	14.28367170
492	14.30855455
493	14.33365384
494	14.35897172
495	14.38450457
496	14.41024586
497	14.43618830
498	14.46232557
499	14.48865235
500	14.51516241
501	14.54184644
502	14.56869136
503	14.59567852
504	14.62278511
505	14.64998642
506	14.67725775
507	14.70457635
508	14.73192298
509	14.75928102
510	14.78663550
511	14.81397161
512	14.84127414
513	14.86852983
514	14.89572645
515	14.92285304
516	14.94990187
517	14.97687026
518	15.00376116
519	15.03058309
520	15.05734749
521	15.08406673
522	15.11075404
523	15.13742202
524	15.16408209
525	15.19074712
526	15.21743198
527	15.24415317
528	15.27092855
529	15.29777334
530	15.32469810
531	15.35170458
532	15.37878474
533	15.40592280
534	15.43310074
535	15.46030334
536	15.48752108
537	15.51474960
538	15.54198677
539	15.56922792
540	15.59646763
541	15.62370686
542	15.65095630
543	15.67823475
544	15.70556573
545	15.73297170
546	15.76046999
547	15.78807111
548	15.81577824
549	15.84358722
550	15.87148853
551	15.89946917
552	15.92751416
553	15.95560828
554	15.98373676
555	16.01188836
556	16.04005620
557	16.06823643
558	16.09642813
559	16.12462969
560	16.15283519
561	16.18103034
562	16.20919195
563	16.23729200
564	16.26530430
565	16.29320794
566	16.32099005
567	16.34864547
568	16.37617636
569	16.40359031
570	16.43090019
571	16.45812391
572	16.48528215
573	16.51239630
574	16.53948818
575	16.56658143
576	16.59370168
577	16.62087203
578	16.64810970
579	16.67542476
580	16.70282386
581	16.73031445
582	16.75790446
583	16.78560180
584	16.81341210
585	16.84133897
586	16.86938504
587	16.89755126
588	16.92583544
589	16.95422981
590	16.98272341
591	17.01130222
592	17.03994947
593	17.06864616
594	17.09737165
595	17.12610307
596	17.15481859
597	17.18349661
598	17.21211756
599	17.24066442
600	17.26912341
601	17.29748373
602	17.32574086
603	17.35389540
604	17.38195118
605	17.40991171
606	17.43777646
607	17.46554014
608	17.49319431
609	17.52072726
610	17.54812515
611	17.57537428
612	17.60246353
613	17.62938631
614	17.65614172
615	17.68273168
616	17.70915880
617	17.73542770
618	17.76154492
619	17.78751771
620	17.81335105
621	17.83904919
622	17.86461558
623	17.89005172
624	17.91535693
625	17.94053007
626	17.96556946
627	17.99047658
628	18.01526166
629	18.03994320
630	18.06454618
631	18.08909723
632	18.11361882
633	18.13812623
634	18.16262576
635	18.18711513
636	18.21158622
637	18.23602657
638	18.26042201
639	18.28475913
640	18.30902628
641	18.33321399
642	18.35731299
643	18.38131325
644	18.40520136
645	18.42896507
646	18.45259403
647	18.47608070
648	18.49941922
649	18.52260720
650	18.54564686
651	18.56854317
652	18.59130319
653	18.61393831
654	18.63646426
655	18.65889928
656	18.68126459
657	18.70357967
658	18.72586222
659	18.74812817
660	18.77039316
661	18.79267133
662	18.81497733
663	18.83732668
664	18.85973451
665	18.88221546
666	18.90478224
667	18.92744597
668	18.95021277
669	18.97308026
670	18.99603837
671	19.01906925
672	19.04215055
673	19.06526001
674	19.08837667
675	19.11148519
676	19.13457607
677	19.15764909
678	19.18071356
679	19.20378621
680	19.22688433
681	19.25001875
682	19.27319442
683	19.29641258
684	19.31967354
685	19.34298130
686	19.36634678
687	19.38978709
688	19.41332352
689	19.43697104
690	19.46073672
691	19.48462122
692	19.50862297
693	19.53274408
694	19.55698907
695	19.58136177
696	19.60586145
697	19.63047742
698	19.65518922
699	19.67997028
700	19.70479101
701	19.72962277
702	19.75444000
703	19.77921685
704	19.80392614
705	19.82853862
706	19.85302472
707	19.87735385
708	19.90149284
709	19.92540871
710	19.94907296
711	19.97246788
712	19.99558893
