#	timestep	msd
349	8.28554651
350	8.30522912
351	8.32493771
352	8.34467473
353	8.36444331
354	8.38424736
355	8.40409082
356	8.42397555
357	8.44389991
358	8.46385895
359	8.48384509
360	8.50384979
361	8.52386510
362	8.54388304
363	8.56389487
364	8.58388999
365	8.60385638
366	8.62378273
367	8.64366047
368	8.66348526
369	8.68325820
370	8.70298435
371	8.72267075
372	8.74232485
373	8.76195299
374	8.78156023
375	8.80115165
376	8.82073340
377	8.84031427
378	8.85990622
379	8.87952288
380	8.89917777
381	8.91888133
382	8.93864058
383	8.95845903
384	8.97833645
385	8.99826927
386	9.01825073
387	9.03827211
388	9.05832414
389	9.07839840
390	9.09848646
391	9.11858013
392	9.13867155
393	9.15875330
394	9.17881792
395	9.19885774
396	9.21886416
397	9.23882754
398	9.25873806
399	9.27858766
400	9.29837133
401	9.31808788
402	9.33774181
403	9.35734075
404	9.37689188
405	9.39639831
406	9.41585963
407	9.43527374
408	9.45463833
409	9.47395224
410	9.49321496
411	9.51242594
412	9.53158359
413	9.55068484
414	9.56972591
415	9.58870348
416	9.60761494
417	9.62645849
418	9.64523363
419	9.66393938
420	9.68257443
421	9.70113710
422	9.71962672
423	9.73804152
424	9.75637840
425	9.77463217
426	9.79279581
427	9.81086258
428	9.82882699
429	9.84668517
430	9.86443361
431	9.88206827
432	9.89958436
433	9.91697665
434	9.93424039
435	9.95137038
436	9.96836079
437	9.98520830
438	10.00191259
439	10.01847771
440	10.03491270
441	10.05123117
442	10.06745107
443	10.08359383
444	10.09968155
445	10.11573413
446	10.13176752
447	10.14779041
448	10.16380524
449	10.17980893
450	10.19579453
451	10.21175205
452	10.22767038
453	10.24353864
454	10.25934768
455	10.27509021
456	10.29075966
457	10.30635045
458	10.32186060
459	10.33729270
460	10.35265652
461	10.36796704
462	10.38324109
463	10.39849333
464	10.41373583
465	10.42897845
466	10.44423024
467	10.45949915
468	10.47479308
469	10.49011900
470	10.50548008
471	10.52087635
472	10.53630572
473	10.55176517
474	10.56725147
475	10.58276210
476	10.59829558
477	10.61385138
478	10.62942897
479	10.64502843
480	10.66064968
481	10.67629300
482	10.69195829
483	10.70764438
484	10.72334787
485	10.73906196
486	10.75477722
487	10.77048116
488	10.78616080
489	10.80180371
490	10.81740020
491	10.83294442
492	10.84843504
493	10.86387480
494	10.87927276
495	10.89464370
496	10.91000825
497	10.92539085
498	10.94081809
499	10.95631576
500	10.97190634
501	10.98760725
502	11.00343019
503	11.01938068
504	11.03545965
505	11.05166331
506	11.06798362
507	11.08440760
508	11.10091621
509	11.11748624
510	11.13409139
511	11.15070504
512	11.16730112
513	11.18385602
514	11.20035019
515	11.21676852
516	11.23310027
517	11.24933848
518	11.26547854
519	11.28151753
520	11.29745314
521	11.31328311
522	11.32900593
523	11.34462026
524	11.36012488
525	11.37551846
